Niveau,Structure_hierarchique,Code,Titres_de_classes,Definitions_de_la_classe
4,Sous-classe (Domaine),RDF1060806,"Physiologie animale, stress environnemental","Cette sous-classe comprend la recherche et le développement expérimental en physiologie animale, stress environnemental."
4,Sous-classe (Domaine),RDF1060807,"Physiologie animale, digestion","Cette sous-classe comprend la recherche et le développement expérimental en physiologie animale, digestion."
4,Sous-classe (Domaine),RDF1060808,"Physiologie animale, activité physique","Cette sous-classe comprend la recherche et le développement expérimental en physiologie animale, activité physique."
4,Sous-classe (Domaine),RDF1060809,"Physiologie animale, thermorégulation","Cette sous-classe comprend la recherche et le développement expérimental en physiologie animale, thermorégulation."
4,Sous-classe (Domaine),RDF1060810,"Physiologie animale, osmorégulation","Cette sous-classe comprend la recherche et le développement expérimental en physiologie animale, osmorégulation."
4,Sous-classe (Domaine),RDF1060811,"Physiologie animale, toxicologie","Cette sous-classe comprend la recherche et le développement expérimental en physiologie animale, toxicologie."
4,Sous-classe (Domaine),RDF1060899,"Physiologie animale, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en physiologie animale, n.c.a."
3,Classe,RDF10609,Phytobiologie,Cette classe comprend la recherche et le développement expérimental en phytobiologie.
4,Sous-classe (Domaine),RDF1060901,Phycologie (y compris l'étude des herbes marines),Cette sous-classe comprend la recherche et le développement expérimental en phycologie (y compris l'étude des herbes marines).
4,Sous-classe (Domaine),RDF1060902,Biologie cellulaire et moléculaire des plantes,Cette sous-classe comprend la recherche et le développement expérimental en biologie cellulaire et moléculaire des plantes.
4,Sous-classe (Domaine),RDF1060903,Biologie du développement et de la reproduction des plantes,Cette sous-classe comprend la recherche et le développement expérimental en biologie du développement et de la reproduction des plantes.
4,Sous-classe (Domaine),RDF1060904,Phytopathologie,Cette sous-classe comprend la recherche et le développement expérimental en phytopathologie.
4,Sous-classe (Domaine),RDF1060905,Physiologie des plantes,Cette sous-classe comprend la recherche et le développement expérimental en physiologie des plantes.
4,Sous-classe (Domaine),RDF1060906,Microbiote des plantes,Cette sous-classe comprend la recherche et le développement expérimental en microbiote des plantes.
4,Sous-classe (Domaine),RDF1060907,Interactions moléculaires plantes-microbes (y compris les interactions hôte-pathogène),Cette sous-classe comprend la recherche et le développement expérimental en Interactions moléculaires plantes-microbes (y compris les interactions hôte-pathogène).
4,Sous-classe (Domaine),RDF1060908,Biologie de l'adaptation des plantes aux stress,Cette sous-classe comprend la recherche et le développement expérimental en biologie de l'adaptation des plantes aux stress.
4,Sous-classe (Domaine),RDF1060909,Biologie hormonale des plantes,Cette sous-classe comprend la recherche et le développement expérimental en biologie hormonale des plantes.
4,Sous-classe (Domaine),RDF1060910,Nutrition et métabolisme des végétaux,Cette sous-classe comprend la recherche et le développement expérimental en nutrition et métabolisme des végétaux.
4,Sous-classe (Domaine),RDF1060911,Biologie des graines,Cette sous-classe comprend la recherche et le développement expérimental en biologie des graines.
4,Sous-classe (Domaine),RDF1060912,Génétique végétale (phytogénétique),Cette sous-classe comprend la recherche et le développement expérimental en génétique végétale (phytogénétique).
4,Sous-classe (Domaine),RDF1060999,"Phytobiologie, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en phytobiologie, n.c.a."
3,Classe,RDF10610,Zoologie,Cette classe comprend la recherche et le développement expérimental en zoologie.
4,Sous-classe (Domaine),RDF1061001,Comportement animal,Cette sous-classe comprend la recherche et le développement expérimental en comportement animal.
4,Sous-classe (Domaine),RDF1061002,Biologie cellulaire et moléculaire des animaux,Cette sous-classe comprend la recherche et le développement expérimental en biologie cellulaire et moléculaire des animaux.
4,Sous-classe (Domaine),RDF1061003,Biologie du développement et de la reproduction des animaux,Cette sous-classe comprend la recherche et le développement expérimental en biologie du développement et de la reproduction des animaux.
4,Sous-classe (Domaine),RDF1061004,Immunologie animale,Cette sous-classe comprend la recherche et le développement expérimental en immunologie animale.
4,Sous-classe (Domaine),RDF1061005,Écologie de la physiologie animale,Cette sous-classe comprend la recherche et le développement expérimental en écologie de la physiologie animale.
4,Sous-classe (Domaine),RDF1061006,Formes et fonctions animales,Cette sous-classe comprend la recherche et le développement expérimental en formes et fonctions animales.
4,Sous-classe (Domaine),RDF1061007,Biologie des invertébrés (sauf la biologie des insectes),Cette sous-classe comprend la recherche et le développement expérimental en biologie des invertébrés (sauf la biologie des insectes).
4,Sous-classe (Domaine),RDF1061008,Biologie des insectes,Cette sous-classe comprend la recherche et le développement expérimental en biologie des insectes.
4,Sous-classe (Domaine),RDF1061009,Mammalogie,Cette sous-classe comprend la recherche et le développement expérimental en mammalogie.
4,Sous-classe (Domaine),RDF1061010,Biologie des poissons,Cette sous-classe comprend la recherche et le développement expérimental en biologie des poissons.
4,Sous-classe (Domaine),RDF1061011,Biologie des oiseaux,Cette sous-classe comprend la recherche et le développement expérimental en biologie des oiseaux.
4,Sous-classe (Domaine),RDF1061012,Biologie des amphibiens et des reptiles,Cette sous-classe comprend la recherche et le développement expérimental en biologie des amphibiens et des reptiles.
4,Sous-classe (Domaine),RDF1061013,Biomécanique comparative,Cette sous-classe comprend la recherche et le développement expérimental en biomécanique comparative.
4,Sous-classe (Domaine),RDF1061099,"Zoologie, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en zoologie, n.c.a."
3,Classe,RDF10611,"Neurosciences, aspects biologiques et chimiques","Cette classe comprend la recherche et le développement expérimental en neurosciences, aspects biologiques et chimiques."
4,Sous-classe (Domaine),RDF1061101,Neuroscience moléculaire,Cette sous-classe comprend la recherche et le développement expérimental en neuroscience moléculaire.
4,Sous-classe (Domaine),RDF1061102,Neuroscience cellulaire,Cette sous-classe comprend la recherche et le développement expérimental en neuroscience cellulaire.
4,Sous-classe (Domaine),RDF1061103,Neurogénétique,Cette sous-classe comprend la recherche et le développement expérimental en neurogénétique.
4,Sous-classe (Domaine),RDF1061104,Neurobiologie animale,Cette sous-classe comprend la recherche et le développement expérimental en neurobiologie animale.
4,Sous-classe (Domaine),RDF1061105,Neurosciences comportementales de l'apprentissage et de la mémoire,Cette sous-classe comprend la recherche et le développement expérimental en neurosciences comportementales de l'apprentissage et de la mémoire.
4,Sous-classe (Domaine),RDF1061106,Neurosciences comportementales de la récompense et de la motivation,Cette sous-classe comprend la recherche et le développement expérimental en neurosciences comportementales de la récompense et de la motivation.
4,Sous-classe (Domaine),RDF1061107,Caractéristiques neurocognitives et réseaux de neurones,Cette sous-classe comprend la recherche et le développement expérimental en caractéristiques neurocognitives et réseaux de neurones.
4,Sous-classe (Domaine),RDF1061108,Neurophysiologie,Cette sous-classe comprend la recherche et le développement expérimental en neurophysiologie.
4,Sous-classe (Domaine),RDF1061199,"Neurosciences, aspects biologiques et chimiques, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en neurosciences, aspects biologiques et chimiques, n.c.a."
3,Classe,RDF10699,Autres sciences biologiques,Cette classe comprend la recherche et le développement expérimental en autres sciences biologiques.
4,Sous-classe (Domaine),RDF1069999,Autres sciences biologiques,Cette sous-classe comprend la recherche et le développement expérimental en autres sciences biologiques.
2,Groupe,RDF107,Autres sciences naturelles,Ce groupe comprend la recherche et le développement expérimental en autres sciences naturelles.
3,Classe,RDF10799,Autres sciences naturelles,Cette classe comprend la recherche et le développement expérimental en autres sciences naturelles.
4,Sous-classe (Domaine),RDF1079999,"Autres sciences naturelles, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en autres sciences naturelles, n.c.a."
1,Division,RDF20-21,Génie et technologies,"Cette division comprend la recherche et le développement expérimental en ingénierie et technologie. L'ingénierie et la technologie réfèrent aux disciplines scientifiques relevant de la compréhension, de l'exploration ou de l'évolution du monde matériel, dans les domaines de l'ingénierie et de la technologie, lesquels incluent le génie civil; le génie maritime; le génie des transports; le génie minier; le génie industriel, des systèmes et des procédés; le génie électrique, le génie informatique et le génie de l'information; le génie mécanique; le génie chimique; le génie des matériaux et génie des ressources; le génie médical et biomédical; le génie environnemental et les techniques d'ingénierie connexes; les biotechnologies environnementales; les biotechnologies industrielles; les nanotechnologies; et les autres sciences de l'ingénierie et des technologies. La recherche consiste en l'investigation systématique par l'expérimentation ou l'analyse, afin de réaliser un progrès scientifique ou technologique, comme l'acquisition de nouvelles connaissances sur les fondements des phénomènes et des faits observables. Le développement expérimental consiste à réaliser de nouveaux biens, services, systèmes, méthodes ou procédés, ou d'améliorer substantiellement les biens, services, systèmes, méthodes ou procédés existants."
2,Groupe,RDF201,"Génie civil, génie maritime, génie des transports, et génie minier","Ce groupe comprend la recherche et le développement expérimental en génie civil, génie maritime, génie des transports, et génie minier."
3,Classe,RDF20101,Génie civil,Cette classe comprend la recherche et le développement expérimental en génie civil.
4,Sous-classe (Domaine),RDF2010101,Géotechnique,Cette sous-classe comprend la recherche et le développement expérimental en géotechnique.
4,Sous-classe (Domaine),RDF2010102,Génie de la construction du bâtiment,Cette sous-classe comprend la recherche et le développement expérimental en génie de la construction du bâtiment.
4,Sous-classe (Domaine),RDF2010103,"Béton, matériaux cimentaires et autres matériaux architecturaux et de construction","Cette sous-classe comprend la recherche et le développement expérimental en béton, matériaux cimentaires et autres matériaux architecturaux et de construction."
4,Sous-classe (Domaine),RDF2010104,Génie parasismique,Cette sous-classe comprend la recherche et le développement expérimental en génie parasismique.
4,Sous-classe (Domaine),RDF2010105,Génie des infrastructures,Cette sous-classe comprend la recherche et le développement expérimental en génie des infrastructures.
4,Sous-classe (Domaine),RDF2010106,Génie des structures,Cette sous-classe comprend la recherche et le développement expérimental en génie des structures.
4,Sous-classe (Domaine),RDF2010107,Génie des infrastructures des ressources hydriques,Cette sous-classe comprend la recherche et le développement expérimental en génie des infrastructures des ressources hydriques.
4,Sous-classe (Domaine),RDF2010108,Génie hydraulique,Cette sous-classe comprend la recherche et le développement expérimental en génie hydraulique.
4,Sous-classe (Domaine),RDF2010109,Géomécanique,Cette sous-classe comprend la recherche et le développement expérimental en géomécanique.
4,Sous-classe (Domaine),RDF2010199,"Génie civil, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en génie civil, n.c.a."
3,Classe,RDF20102,Mécanique navale,Cette classe comprend la recherche et le développement expérimental en mécanique navale.
4,Sous-classe (Domaine),RDF2010201,Architecture navale,Cette sous-classe comprend la recherche et le développement expérimental en architecture navale.
4,Sous-classe (Domaine),RDF2010202,Génie océanique,Cette sous-classe comprend la recherche et le développement expérimental en génie océanique.
4,Sous-classe (Domaine),RDF2010203,Hydrodynamique navale,Cette sous-classe comprend la recherche et le développement expérimental en hydrodynamique navale.
4,Sous-classe (Domaine),RDF2010204,Génie hydrodynamique des plates-formes marines,Cette sous-classe comprend la recherche et le développement expérimental en génie hydrodynamique des plates-formes marines.
4,Sous-classe (Domaine),RDF2010205,Génie extracôtier (y compris les structures de plates-formes marines),Cette sous-classe comprend la recherche et le développement expérimental en génie extracôtier (y compris les structures de plates-formes marines).
4,Sous-classe (Domaine),RDF2010206,Génie des véhicules marins spéciaux,Cette sous-classe comprend la recherche et le développement expérimental en génie des véhicules marins spéciaux.
4,Sous-classe (Domaine),RDF2010299,"Mécanique navale, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en mécanique navale, n.c.a."
3,Classe,RDF20103,Génie des systèmes de transport terrestre,Cette classe comprend la recherche et le développement expérimental en génie des systèmes de transport terrestre.
4,Sous-classe (Domaine),RDF2010301,Génie de la circulation et génie autoroutier,Cette sous-classe comprend la recherche et le développement expérimental en génie de la circulation et génie autoroutier.
4,Sous-classe (Domaine),RDF2010302,Génie ferroviaire et aéroportuaire,Cette sous-classe comprend la recherche et le développement expérimental en génie ferroviaire et aéroportuaire.
4,Sous-classe (Domaine),RDF2010303,Génie du transport en commun,Cette sous-classe comprend la recherche et le développement expérimental en génie du transport en commun.
4,Sous-classe (Domaine),RDF2010304,Génie de la sécurité routière,Cette sous-classe comprend la recherche et le développement expérimental en génie de la sécurité routière.
4,Sous-classe (Domaine),RDF2010305,Modélisation de la demande de transport,Cette sous-classe comprend la recherche et le développement expérimental en modélisation de la demande de transport.
4,Sous-classe (Domaine),RDF2010306,Structure et revêtement de la chaussée,Cette sous-classe comprend la recherche et le développement expérimental en structure et revêtement de la chaussée.
4,Sous-classe (Domaine),RDF2010307,Génie des infrastructures des systèmes de transport pour véhicules autonomes,Cette sous-classe comprend la recherche et le développement expérimental en génie des infrastructures des systèmes de transport pour véhicules autonomes.
4,Sous-classe (Domaine),RDF2010399,"Génie des systèmes de transport terrestre, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en génie des systèmes de transport terrestre, n.c.a."
3,Classe,RDF20104,Génie minier,Cette classe comprend la recherche et le développement expérimental en génie minier.
4,Sous-classe (Domaine),RDF2010499,Génie minier,Cette sous-classe comprend la recherche et le développement expérimental en génie minier.
2,Groupe,RDF202,"Génie industriel, des systèmes et des procédés","Ce groupe comprend la recherche et le développement expérimental en génie industriel, des systèmes et des procédés."
3,Classe,RDF20201,Génie des facteurs humains,Cette classe comprend la recherche et le développement expérimental en génie des facteurs humains.
4,Sous-classe (Domaine),RDF2020101,Interface cerveau-ordinateur,Cette sous-classe comprend la recherche et le développement expérimental en interface cerveau-ordinateur.
4,Sous-classe (Domaine),RDF2020102,"Ergonomie physique, environnementale et cognitive","Cette sous-classe comprend la recherche et le développement expérimental en ergonomie physique, environnementale et cognitive."
4,Sous-classe (Domaine),RDF2020103,Conception des contrôles,Cette sous-classe comprend la recherche et le développement expérimental en conception des contrôles.
4,Sous-classe (Domaine),RDF2020104,Systèmes et interface humain-ordinateur,Cette sous-classe comprend la recherche et le développement expérimental en systèmes et interface humain-ordinateur.
4,Sous-classe (Domaine),RDF2020105,Technologies d'assistance,Cette sous-classe comprend la recherche et le développement expérimental en technologies d'assistance.
4,Sous-classe (Domaine),RDF2020199,"Génie des facteurs humains, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en génie des facteurs humains, n.c.a."
3,Classe,RDF20202,Génie des systèmes et systémique,Cette classe comprend la recherche et le développement expérimental en génie des systèmes et systémique.
4,Sous-classe (Domaine),RDF2020201,Conception et analyse des systèmes,Cette sous-classe comprend la recherche et le développement expérimental en conception et analyse des systèmes.
4,Sous-classe (Domaine),RDF2020202,Modélisation et applications des systèmes,Cette sous-classe comprend la recherche et le développement expérimental en modélisation et applications des systèmes.
4,Sous-classe (Domaine),RDF2020203,Systèmes intelligents d'énergie renouvelable,Cette sous-classe comprend la recherche et le développement expérimental en systèmes intelligents d'énergie renouvelable.
4,Sous-classe (Domaine),RDF2020204,Systèmes de transport intelligents,Cette sous-classe comprend la recherche et le développement expérimental en systèmes de transport intelligents.
4,Sous-classe (Domaine),RDF2020205,Génie des systèmes de production,Cette sous-classe comprend la recherche et le développement expérimental en génie des systèmes de production.
4,Sous-classe (Domaine),RDF2020299,"Génie des systèmes et systémique, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en génie des systèmes et systémique, n.c.a."
3,Classe,RDF20203,Recherche opérationnelle,Cette classe comprend la recherche et le développement expérimental en recherche opérationnelle.
4,Sous-classe (Domaine),RDF2020301,Programmation en recherche opérationnelle (y compris les programmations linéaire et non linéaire),Cette sous-classe comprend la recherche et le développement expérimental en programmation en recherche opérationnelle (y compris les programmations linéaire et non linéaire).
4,Sous-classe (Domaine),RDF2020302,Optimisation combinatoire et réseau (y compris la programmation et la métaheuristique),Cette sous-classe comprend la recherche et le développement expérimental en optimisation combinatoire et réseau (y compris la programmation et la métaheuristique).
4,Sous-classe (Domaine),RDF2020303,Optimisation sous incertitude (y compris l'optimisation stochastique et robuste),Cette sous-classe comprend la recherche et le développement expérimental en optimisation sous incertitude (y compris l'optimisation stochastique et robuste).
4,Sous-classe (Domaine),RDF2020304,Optimisation à deux niveaux et théorie des jeux,Cette sous-classe comprend la recherche et le développement expérimental en optimisation à deux niveaux et théorie des jeux.
4,Sous-classe (Domaine),RDF2020305,Modélisation stochastique (y compris la formation de files d'attente et la simulation),Cette sous-classe comprend la recherche et le développement expérimental en modélisation stochastiques (y compris la formation de files d'attente et la simulation).
4,Sous-classe (Domaine),RDF2020306,Analyse des décisions et des risques,Cette sous-classe comprend la recherche et le développement expérimental en analyse des décisions et des risques.
4,Sous-classe (Domaine),RDF2020307,Ingénierie des systèmes de qualité,Cette sous-classe comprend la recherche et le développement expérimental en Ingénierie des systèmes de qualité.
4,Sous-classe (Domaine),RDF2020399,"Recherche opérationnelle, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en recherche opérationnelle, n.c.a."
3,Classe,RDF20204,Biosystèmes et génie agricole,Cette classe comprend la recherche et le développement expérimental en biosystèmes et génie agricole.
4,Sous-classe (Domaine),RDF2020401,Irrigation,Cette sous-classe comprend la recherche et le développement expérimental en irrigation.
4,Sous-classe (Domaine),RDF2020402,Moto cultures agricoles,Cette sous-classe comprend la recherche et le développement expérimental en moto cultures agricoles.
4,Sous-classe (Domaine),RDF2020403,Technologies de gestion des cultures,Cette sous-classe comprend la recherche et le développement expérimental en technologies de gestion des cultures.
4,Sous-classe (Domaine),RDF2020404,Pesticides et applications des pesticides,Cette sous-classe comprend la recherche et le développement expérimental en pesticides et applications des pesticides.
4,Sous-classe (Domaine),RDF2020499,"Biosystèmes et génie agricole, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en biosystèmes et génie agricole, n.c.a."
3,Classe,RDF20299,"Autre génie industriel, des systèmes et des procédés","Cette classe comprend la recherche et le développement expérimental en autre génie industriel, des systèmes et des procédés."
4,Sous-classe (Domaine),RDF2029999,"Autre génie industriel, des systèmes et des procédés","Cette sous-classe comprend la recherche et le développement expérimental en autre génie industriel, des systèmes et des procédés."
2,Groupe,RDF203,"Génie électrique, génie informatique et génie de l'information","Ce groupe comprend la recherche et le développement expérimental en génie électrique, génie informatique et génie de l'information."
3,Classe,RDF20301,Génie informatique,Cette classe comprend la recherche et le développement expérimental en génie informatique.
4,Sous-classe (Domaine),RDF2030101,Logiciels de base ou d'exploitation,Cette sous-classe comprend la recherche et le développement expérimental en logiciels de base ou d'exploitation.
4,Sous-classe (Domaine),RDF2030102,Langages computationnels (y compris les langages spécifiques à un domaine),Cette sous-classe comprend la recherche et le développement expérimental en langages computationnels (y compris les langages spécifiques à un domaine).
4,Sous-classe (Domaine),RDF2030103,Systèmes intergiciels,Cette sous-classe comprend la recherche et le développement expérimental en systèmes intergiciels.
4,Sous-classe (Domaine),RDF2030104,Génie des systèmes informatiques,Cette sous-classe comprend la recherche et le développement expérimental en génie des systèmes informatiques.
4,Sous-classe (Domaine),RDF2030105,Architecture d'ordinateur,Cette sous-classe comprend la recherche et le développement expérimental en architecture d'ordinateur.
4,Sous-classe (Domaine),RDF2030106,Systèmes et stockage de la mémoire d'ordinateur,Cette sous-classe comprend la recherche et le développement expérimental en systèmes et stockage de la mémoire d'ordinateur.
4,Sous-classe (Domaine),RDF2030107,Matériel de traitement et technologies numériques,Cette sous-classe comprend la recherche et le développement expérimental en matériel de traitement et technologies numériques.
4,Sous-classe (Domaine),RDF2030108,Matériel configurable d'ordinateur,Cette sous-classe comprend la recherche et le développement expérimental en matériel configurable d'ordinateur.
4,Sous-classe (Domaine),RDF2030109,Conception assistée par ordinateur,Cette sous-classe comprend la recherche et le développement expérimental en conception assistée par ordinateur.
4,Sous-classe (Domaine),RDF2030110,Matériel et logiciels pour la sécurité informatique,Cette sous-classe comprend la recherche et le développement expérimental en matériel et logiciels pour la sécurité informatique.
4,Sous-classe (Domaine),RDF2030111,Systèmes d'apprentissage machine,Cette sous-classe comprend la recherche et le développement expérimental en systèmes d'apprentissage machine.
4,Sous-classe (Domaine),RDF2030199,"Génie informatique, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en génie informatique, n.c.a."
3,Classe,RDF20302,Technologies des communications et des réseaux,Cette classe comprend la recherche et le développement expérimental en technologies des communications et des réseaux.
4,Sous-classe (Domaine),RDF2030201,Systèmes de communication sans fil,Cette sous-classe comprend la recherche et le développement expérimental en systèmes de communication sans fil.
4,Sous-classe (Domaine),RDF2030202,Théorie du codage et de l'information appliquée aux technologies des communications et réseaux,Cette sous-classe comprend la recherche et le développement expérimental en théorie du codage et de l'information appliquée aux technologies des communications et réseaux.
4,Sous-classe (Domaine),RDF2030203,Communications numériques,Cette sous-classe comprend la recherche et le développement expérimental en communications numériques.
4,Sous-classe (Domaine),RDF2030204,Internet des objets,Cette sous-classe comprend la recherche et le développement expérimental en internet des objets.
4,Sous-classe (Domaine),RDF2030205,Réseaux définis par logiciel (SDN),Cette sous-classe comprend la recherche et le développement expérimental en réseaux définis par logiciel (SDN).
4,Sous-classe (Domaine),RDF2030206,Systèmes informatiques en nuage,Cette sous-classe comprend la recherche et le développement expérimental en systèmes informatiques en nuage.
4,Sous-classe (Domaine),RDF2030207,Systèmes de gestion du réseau de service,Cette sous-classe comprend la recherche et le développement expérimental en systèmes de gestion du réseau de service.
4,Sous-classe (Domaine),RDF2030208,Protocoles et architectures du réseau,Cette sous-classe comprend la recherche et le développement expérimental en Protocoles et architectures du réseau.
4,Sous-classe (Domaine),RDF2030209,Science et génie du réseau,Cette sous-classe comprend la recherche et le développement expérimental en science et génie du réseau.
4,Sous-classe (Domaine),RDF2030210,Partage et gestion du spectre,Cette sous-classe comprend la recherche et le développement expérimental en partage et gestion du spectre.
4,Sous-classe (Domaine),RDF2030211,Communication multimédia et mise en réseau,Cette sous-classe comprend la recherche et le développement expérimental en communication multimédia et mise en réseau.
4,Sous-classe (Domaine),RDF2030212,Systèmes cyber-physiques,Cette sous-classe comprend la recherche et le développement expérimental en systèmes cyberphysiques.
4,Sous-classe (Domaine),RDF2030213,Technologies de la cybersécurité et de la confidentialité,Cette sous-classe comprend la recherche et le développement expérimental en technologies de la cybersécurité et de la confidentialité.
4,Sous-classe (Domaine),RDF2030214,Technologies des communications par fibre optique,Cette sous-classe comprend la recherche et le développement expérimental en technologies des communications par fibre optique.
4,Sous-classe (Domaine),RDF2030215,Réseaux optiques,Cette sous-classe comprend la recherche et le développement expérimental en réseaux optiques.
4,Sous-classe (Domaine),RDF2030216,Systèmes de régulation et de commande des communications et réseaux,Cette sous-classe comprend la recherche et le développement expérimental en Systèmes de régulation et de commande des communications et réseaux.
4,Sous-classe (Domaine),RDF2030217,Robotique et automatisation en réseau,Cette sous-classe comprend la recherche et le développement expérimental en robotique et automatisation en réseau.
4,Sous-classe (Domaine),RDF2030299,"Technologies des communications et des réseaux, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en technologies des communications et des réseaux, n.c.a."
3,Classe,RDF20303,Analytique des données et traitement du signal,Cette classe comprend la recherche et le développement expérimental en analytique des données et traitement du signal.
4,Sous-classe (Domaine),RDF2030301,Systèmes d'apprentissage et adaptatifs,Cette sous-classe comprend la recherche et le développement expérimental en systèmes d'apprentissage et adaptatifs.
4,Sous-classe (Domaine),RDF2030302,Génie de l'intelligence artificielle,Cette sous-classe comprend la recherche et le développement expérimental en génie de l'intelligence artificielle.
4,Sous-classe (Domaine),RDF2030303,Optimisation et algorithmes et systèmes de l'analytique de données,Cette sous-classe comprend la recherche et le développement expérimental en optimisation et algorithmes et systèmes de l'analytique de données.
4,Sous-classe (Domaine),RDF2030304,Calcul reparti et traitement du signal,Cette sous-classe comprend la recherche et le développement expérimental en calcul reparti et traitement du signal.
4,Sous-classe (Domaine),RDF2030305,Traitement et analyse d'images et de vidéos,Cette sous-classe comprend la recherche et le développement expérimental en traitement et analyse d'images et de vidéos.
4,Sous-classe (Domaine),RDF2030306,Traitement du signal acoustique,Cette sous-classe comprend la recherche et le développement expérimental en traitement du signal acoustique.
4,Sous-classe (Domaine),RDF2030307,Vision par ordinateur en analytique des données et traitement de signal,Cette sous-classe comprend la recherche et le développement expérimental en vision par ordinateur (artificielle) en analytique des données et traitement de signal.
4,Sous-classe (Domaine),RDF2030308,Cognition et systèmes dynamiques cognitifs,Cette sous-classe comprend la recherche et le développement expérimental en cognition et systèmes dynamiques cognitifs.
4,Sous-classe (Domaine),RDF2030309,Traitement et analyse de biosignaux,Cette sous-classe comprend la recherche et le développement expérimental en traitement et analyse de biosignaux.
4,Sous-classe (Domaine),RDF2030310,Traitement du signal pour la sécurité et la confidentialité,Cette sous-classe comprend la recherche et le développement expérimental en traitement du signal pour la sécurité et la confidentialité.
4,Sous-classe (Domaine),RDF2030311,Traitement du signal radar et sonar,Cette sous-classe comprend la recherche et le développement expérimental en traitement du signal radar et sonar.
4,Sous-classe (Domaine),RDF2030312,Télédétection du traitement du signal,Cette sous-classe comprend la recherche et le développement expérimental en télédétection du traitement du signal.
4,Sous-classe (Domaine),RDF2030313,Systèmes de modélisation et de simulation du traitement du signal,Cette sous-classe comprend la recherche et le développement expérimental en systèmes de modélisation et de simulation du traitement du signal.
4,Sous-classe (Domaine),RDF2030314,Théorie du traitement du signal,Cette sous-classe comprend la recherche et le développement expérimental en théorie du traitement du signal.
4,Sous-classe (Domaine),RDF2030399,"Analytique des données et traitement du signal, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en analytique des données et traitement du signal, n.c.a."
3,Classe,RDF20304,Systèmes d'énergie électrique,Cette classe comprend la recherche et le développement expérimental en systèmes d'énergie électrique.
4,Sous-classe (Domaine),RDF2030401,Systèmes dynamiques et de régulation de puissance,Cette sous-classe comprend la recherche et le développement expérimental en systèmes dynamiques et de régulation de puissance.
4,Sous-classe (Domaine),RDF2030402,Électronique de la puissance,Cette sous-classe comprend la recherche et le développement expérimental en électronique de la puissance.
4,Sous-classe (Domaine),RDF2030403,Systèmes d'énergie renouvelable (sauf le génie des systèmes intelligents),Cette sous-classe comprend la recherche et le développement expérimental en systèmes d'énergie renouvelable (sauf le génie des systèmes intelligents).
4,Sous-classe (Domaine),RDF2030404,Qualité de l'énergie,Cette sous-classe comprend la recherche et le développement expérimental en qualité de l'énergie.
4,Sous-classe (Domaine),RDF2030405,Stockage d'énergie,Cette sous-classe comprend la recherche et le développement expérimental en stockage d'énergie.
4,Sous-classe (Domaine),RDF2030406,Réseaux électriques intelligents,Cette sous-classe comprend la recherche et le développement expérimental en réseaux électriques intelligents.
4,Sous-classe (Domaine),RDF2030407,Opération du réseau électrique,Cette sous-classe comprend la recherche et le développement expérimental en opération du réseau électrique.
4,Sous-classe (Domaine),RDF2030408,Protection du réseau électrique,Cette sous-classe comprend la recherche et le développement expérimental en protection du réseau électrique.
4,Sous-classe (Domaine),RDF2030409,Machines électriques et systèmes d'entraînement,Cette sous-classe comprend la recherche et le développement expérimental en machines électriques et systèmes d'entraînement.
4,Sous-classe (Domaine),RDF2030410,Systèmes à haute tension continue CC (HVDC),Cette sous-classe comprend la recherche et le développement expérimental en systèmes à haute tension continue CC (HVDC).
4,Sous-classe (Domaine),RDF2030411,Systèmes de distribution de l'énergie,Cette sous-classe comprend la recherche et le développement expérimental en systèmes de distribution de l'énergie.
4,Sous-classe (Domaine),RDF2030499,"Systèmes d'énergie électrique, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en systèmes d'énergie électrique, n.c.a."
3,Classe,RDF20305,"Électromagnétique, photonique et optique","Cette classe comprend la recherche et le développement expérimental en électromagnétique, photonique et optique."
4,Sous-classe (Domaine),RDF2030501,Théorie de l'électricité et du magnétisme,Cette sous-classe comprend la recherche et le développement expérimental en théorie de l'électricité et du magnétisme.
4,Sous-classe (Domaine),RDF2030502,Électromagnétique appliqué,Cette sous-classe comprend la recherche et le développement expérimental en électromagnétique appliqué.
4,Sous-classe (Domaine),RDF2030503,Méthodes de calcul en électromagnétique,Cette sous-classe comprend la recherche et le développement expérimental en méthodes de calcul en électromagnétique.
4,Sous-classe (Domaine),RDF2030504,Théorie et techniques de l'hyperfréquence,Cette sous-classe comprend la recherche et le développement expérimental en théorie et techniques de l'hyperfréquence.
