Niveau,Structure_hierarchique,Code,Titres_de_classes,Definitions_de_la_classe
4,Sous-classe (Domaine),RDF3030304,Orthophonie,Cette sous-classe comprend la recherche et le développement expérimental en orthophonie.
4,Sous-classe (Domaine),RDF3030305,Réadaptation en santé mentale,Cette sous-classe comprend la recherche et le développement expérimental en réadaptation en santé mentale.
4,Sous-classe (Domaine),RDF3030306,Réadaptation en dépendance,Cette sous-classe comprend la recherche et le développement expérimental en réadaptation en dépendance.
4,Sous-classe (Domaine),RDF3030307,Médecine du sport,Cette sous-classe comprend la recherche et le développement expérimental en médecine du sport.
4,Sous-classe (Domaine),RDF3030308,Audiologie,Cette sous-classe comprend la recherche et le développement expérimental en audiologie.
4,Sous-classe (Domaine),RDF3030399,"Médecine de la réadaptation, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en médecine de la réadaptation, n.c.a."
3,Classe,RDF30304,Services et systèmes de santé,Cette classe comprend la recherche et le développement expérimental en services et systèmes de santé.
4,Sous-classe (Domaine),RDF3030401,Services communautaires et de santé,Cette sous-classe comprend la recherche et le développement expérimental en administration des soins de santé.
4,Sous-classe (Domaine),RDF3030402,Administration des soins de santé,Cette sous-classe comprend la recherche et le développement expérimental en administration des soins de santé.
4,Sous-classe (Domaine),RDF3030403,Systèmes d'information sur la santé (y compris la surveillance),Cette sous-classe comprend la recherche et le développement expérimental en systèmes d'information sur la santé (y compris la surveillance).
4,Sous-classe (Domaine),RDF3030404,Counselling en santé,Cette sous-classe comprend la recherche et le développement expérimental en counselling en santé.
4,Sous-classe (Domaine),RDF3030405,Santé communautaire infantile,Cette sous-classe comprend la recherche et le développement expérimental en santé communautaire infantile.
4,Sous-classe (Domaine),RDF3030406,Efficacité des soins de santé et résultats sur la santé,Cette sous-classe comprend la recherche et le développement expérimental en efficacité des soins de santé et résultats sur la santé.
4,Sous-classe (Domaine),RDF3030407,Amélioration de la sécurité et de la qualité des soins de santé,Cette sous-classe comprend la recherche et le développement expérimental en amélioration de la sécurité et de la qualité des soins de santé.
4,Sous-classe (Domaine),RDF3030408,Sciences de l'application et de l'implémentation des connaissances dans le domaine de la santé,Cette sous-classe comprend la recherche et le développement expérimental en sciences de l'application et de l'implémentation des connaissances dans le domaine de la santé.
4,Sous-classe (Domaine),RDF3030409,Recherche sur l'engagement des patients et des citoyens,Cette sous-classe comprend la recherche et le développement expérimental en recherche sur l'engagement des patients et des citoyens.
4,Sous-classe (Domaine),RDF3030410,Cybersanté (e-santé),Cette sous-classe comprend la recherche et le développement expérimental en cybersanté (e-santé).
4,Sous-classe (Domaine),RDF3030411,Santé mobile (m-santé),Cette sous-classe comprend la recherche et le développement expérimental en santé mobile (m-santé).
4,Sous-classe (Domaine),RDF3030499,"Services et systèmes de santé, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en services et systèmes de santé, n.c.a."
3,Classe,RDF30305,Soins,Cette classe comprend la recherche et le développement expérimental en soins.
4,Sous-classe (Domaine),RDF3030501,Soins familiaux,Cette sous-classe comprend la recherche et le développement expérimental en soins familiaux.
4,Sous-classe (Domaine),RDF3030502,Soins de santé de première ligne,Cette sous-classe comprend la recherche et le développement expérimental en soins de santé de première ligne.
4,Sous-classe (Domaine),RDF3030503,Soins en établissement,Cette sous-classe comprend la recherche et le développement expérimental en soins en établissement.
4,Sous-classe (Domaine),RDF3030504,Services de soins de santé gériatriques (sauf les soins infirmiers),Cette sous-classe comprend la recherche et le développement expérimental en services de soins de santé gériatriques (sauf les soins infirmiers).
4,Sous-classe (Domaine),RDF3030505,Services aux personnes handicapées,Cette sous-classe comprend la recherche et le développement expérimental en services aux personnes handicapées.
4,Sous-classe (Domaine),RDF3030506,Soins urgents et intensifs,Cette sous-classe comprend la recherche et le développement expérimental en soins urgents et intensifs.
4,Sous-classe (Domaine),RDF3030507,Médecine personnalisée,Cette sous-classe comprend la recherche et le développement expérimental en médecine personnalisée.
4,Sous-classe (Domaine),RDF3030508,Médecine génétique,Cette sous-classe comprend la recherche et le développement expérimental en médecine génétique.
4,Sous-classe (Domaine),RDF3030509,Soins coordonnés et intégrés,Cette sous-classe comprend la recherche et le développement expérimental en soins coordonnés et intégrés.
4,Sous-classe (Domaine),RDF3030510,Soins hospitaliers et spécialisés,Cette sous-classe comprend la recherche et le développement expérimental en soins hospitaliers et spécialisés.
4,Sous-classe (Domaine),RDF3030511,Soins axés sur le patient,Cette sous-classe comprend la recherche et le développement expérimental en soins axés sur le patient.
4,Sous-classe (Domaine),RDF3030512,Palliation et soins de fin de vie,Cette sous-classe comprend la recherche et le développement expérimental en palliation et soins de fin de vie.
4,Sous-classe (Domaine),RDF3030513,Soins maternels et néonataux,Cette sous-classe comprend la recherche et le développement expérimental en soins maternels et néonataux.
4,Sous-classe (Domaine),RDF3030514,Privilège de l'accès aux soins de santé ou marginalisation,Cette sous-classe comprend la recherche et le développement expérimental en privilège de l'accès aux soins de santé ou marginalisation.
4,Sous-classe (Domaine),RDF3030515,Soins de santé à domicile,Cette sous-classe comprend la recherche et le développement expérimental en soins de santé à domicile.
4,Sous-classe (Domaine),RDF3030516,Traumatologie,Cette sous-classe comprend la recherche et le développement expérimental en traumatologie.
4,Sous-classe (Domaine),RDF3030517,Médecine interne,Cette sous-classe comprend la recherche et le développement expérimental en médecine interne.
4,Sous-classe (Domaine),RDF3030518,Maïeutique (sage-femme),Cette sous-classe comprend la recherche et le développement expérimental en maïeutique (sage-femme).
4,Sous-classe (Domaine),RDF3030599,"Soins, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en soins, n.c.a."
3,Classe,RDF30306,Soins infirmiers,Cette classe comprend la recherche et le développement expérimental en soins infirmiers.
4,Sous-classe (Domaine),RDF3030601,Soins infirmiers gériatriques,Cette sous-classe comprend la recherche et le développement expérimental en soins infirmiers gériatriques.
4,Sous-classe (Domaine),RDF3030602,Soins infirmiers cliniques primaires (soins préventifs),Cette sous-classe comprend la recherche et le développement expérimental en soins infirmiers cliniques primaires (soins préventifs).
4,Sous-classe (Domaine),RDF3030603,Soins infirmiers cliniques secondaires (soins actifs),Cette sous-classe comprend la recherche et le développement expérimental en soins infirmiers cliniques secondaires (soins actifs).
