Niveau,Code,Titres_de_classes,Nom_du_type_d_element_Francais,Description_d_element_Francais
3,RDF30304,Services et systèmes de santé,Exclusion(s),soins de santé  (Voir RDF30305 Soins)
4,RDF3030401,Services communautaires et de santé,Exclusion(s),santé communautaire infantile  (Voir RDF3030405 Santé communautaire infantile)
4,RDF3030411,Santé mobile (m-santé),Exclusion(s),Cybersanté  (Voir RDF3030410 Cybersanté (e-santé))
4,RDF3030504,Services de soins de santé gériatriques (sauf les soins infirmiers),Exclusion(s),gériatrie et gérontologie cliniques  (Voir RDF3020212 Gériatrie et gérontologie)
4,RDF3030504,Services de soins de santé gériatriques (sauf les soins infirmiers),Exclusion(s),soins infirmiers gériatriques  (Voir RDF3030601 Soins infirmiers gériatriques)
4,RDF3030513,Soins maternels et néonataux,Exclusion(s),maïeutique (sage-femme)  (Voir RDF3030518 Maïeutique (sage-femme))
4,RDF3030605,Soins infirmiers en santé mentale,Exclusion(s),santé mentale associée au bien-être  (Voir RDF5010121 Santé mentale et bien-être)
4,RDF3030605,Soins infirmiers en santé mentale,Exclusion(s),réadaptation en santé mentale  (Voir RDF3030305 Réadaptation en santé mentale)
2,RDF304,Biotechnologies médicales,Exclusion(s),histoire et philosophie de la médecine  (Voir RDF6030306 Histoire et philosophie de la médecine)
2,RDF304,Biotechnologies médicales,Exclusion(s),histoire de la médecine et des soins de santé  (Voir RDF6010112 Histoire de la médecine et des soins de santé)
2,RDF304,Biotechnologies médicales,Exclusion(s),nanobiotechnologie  (Voir RDF2110102 Nanobiotechnologies)
2,RDF304,Biotechnologies médicales,Exclusion(s),nanomédecine  (Voir RDF2110108 Nanomédecine)
3,RDF30401,Biotechnologies médicales,Exclusion(s),technologies de procréation assistée  (Voir RDF3020508 Assistance médicale à la procréation)
3,RDF30401,Biotechnologies médicales,Exclusion(s),biochimie associée à la médecine clinique  (Voir RDF302 Médecine clinique)
3,RDF30401,Biotechnologies médicales,Exclusion(s),biomatériaux dont l'usage n'est pas limité à la dentisterie  (Voir RDF2070101 Matériaux biomédicaux)
3,RDF30401,Biotechnologies médicales,Exclusion(s),matériaux dentaires  (Voir RDF3020401 Matériaux et appareils dentaires)
3,RDF30401,Biotechnologies médicales,Exclusion(s),biotechnologies environnementales  (Voir RDF20901 Biotechnologies de l'environnement)
3,RDF30401,Biotechnologies médicales,Exclusion(s),"utilisation éthique de la biotechnologie  (Voir RDF6030203 Aspects éthiques des technologies (par ex., le numérique, l'intelligence artificielle))"
3,RDF30401,Biotechnologies médicales,Exclusion(s),"modification génétique des plantes, des microbes ou des animaux à des fins agricoles  (Voir RDF40401 Biotechnologies de l'agriculture)"
3,RDF30401,Biotechnologies médicales,Exclusion(s),biotechnologies industrielles  (Voir RDF21001 Biotechnologies industrielles)
3,RDF30401,Biotechnologies médicales,Exclusion(s),nanobiotechnologie  (Voir RDF2110102 Nanobiotechnologies)
3,RDF30401,Biotechnologies médicales,Exclusion(s),nanomédecine  (Voir RDF2110108 Nanomédecine)
3,RDF30401,Biotechnologies médicales,Exclusion(s),pharmacogénomique  (Voir RDF3010502 Pharmacogénomique)
2,RDF305,Autres sciences médicales,Exclusion(s),histoire et philosophie de la médecine  (Voir RDF6030306 Histoire et philosophie de la médecine)
2,RDF305,Autres sciences médicales,Exclusion(s),histoire de la médecine et des soins de santé  (Voir RDF6010112 Histoire de la médecine et des soins de santé)
2,RDF305,Autres sciences médicales,Exclusion(s),médecine vétérinaire  (Voir RDF4030105 Médecine vétérinaire)
